,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
423,AWEXOR_freeONLY,6.80988,5.96321,6.79567,1.17466,1060.27,902.622,0,0,0.506983,0.431601,0,Zn,Yes,Zn
424,AWEXUX_freeONLY,6.82832,6.09793,6.82832,1.18929,1056.83,888.629,0,0,0.500459,0.420806,0,Zn,Yes,Zn
425,AWEYAE_freeONLY,6.56115,5.00799,6.56047,1.28148,904.676,705.961,0,0,0.471436,0.367884,0,Zn,Yes,Zn
426,AWEZOS01_freeONLY,5.84706,3.42512,5.80841,1.53516,285.532,185.995,30.3686,19.782,0.417192,0.271758,0,Cu,Yes,Cu
427,AWEZOS_freeONLY,5.82419,3.41984,5.82344,1.53516,282.97,184.326,29.8668,19.4552,0.417008,0.271638,0,Cu,Yes,Cu
428,AWIBAK_freeONLY,5.84656,3.40416,5.84009,1.53516,290.342,189.128,29.8653,19.4542,0.417213,0.271772,0,Cu,Yes,Cu
429,AWIBAL_freeONLY,4.59094,3.68543,4.59094,1.75088,904.106,516.373,0,0,0.457512,0.261304,0,Lu,No,
430,AWIBEO_freeONLY,5.86863,3.52185,5.84898,1.56801,304.799,194.386,17.4354,11.1194,0.412836,0.263286,0,Cu,Yes,Cu
431,AWIBIS_freeONLY,5.86875,3.53548,5.85417,1.56101,321.828,206.166,18.54,11.8769,0.417759,0.267621,0,Cu,Yes,Cu
432,AWOKED_freeONLY,4.16243,2.78956,4.14775,2.02714,0,0,190.365,93.9084,0.405732,0.200151,0,"Sm,Ag",Yes,Ag
