,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
12518,WEYQAU13_clean,4.35688,3.26851,4.35534,1.22608,0,0,1157.37,943.958,0.541746,0.441853,0,Mn,No,
9767,RIZNIY_clean,4.34525,3.26767,4.27156,1.24704,0,0,828.837,664.642,0.493448,0.395695,0,Cu,Yes,Cu
162,AHUTIH_clean,4.19485,3.26762,4.19316,2.04865,0,0,454.023,221.621,0.435857,0.212753,0,La,Yes,La
2948,FAWCEN04_clean,11.34976,3.26757,11.34976,0.967683,0,0,1417.03,1464.35,0.620915,0.641651,0,Zn,No,
9500,RALZAH_clean,4.93014,3.26735,4.9293,1.69809,0,0,389.078,229.126,0.391341,0.230459,0,"V,Sm",Yes,V
3978,HAJKOU_clean,6.22574,3.26734,6.22574,1.26606,0,0,1050.09,829.421,0.490626,0.387523,0,Co,No,
8394,OZOPIE_clean,4.75756,3.26708,4.27848,1.27795,0,0,369.619,289.227,0.448391,0.350867,0,Co,No,
647,BAXREY_clean,6.66984,3.26644,6.66539,1.52944,0,0,666.817,435.986,0.467404,0.305603,0,"W,Cu",No,
1707,DARVAW_clean,3.74235,3.26644,3.73494,1.50511,0,0,380.787,252.996,0.490073,0.325606,0,Co,No,
10143,SAPJEZ_clean,6.92299,3.26636,6.92299,1.48778,0,0,1374.8,924.06,0.54503,0.366338,0,Al,No,
1847,DISSUU_clean,5.79294,3.26631,5.65705,1.8659,0,0,890.624,477.316,0.536476,0.287516,0,Zn,No,
713,BEPVAV_clean,4.41523,3.26627,4.41523,1.36696,0,0,551.889,403.733,0.486712,0.356053,0,Cu,Yes,Cu
5084,IYUHEQ_clean,4.01864,3.26623,4.01864,1.71048,0,0,210.894,123.295,0.374747,0.219089,0,In,No,
4823,INIQIH_clean,5.41574,3.26606,5.38772,1.41542,0,0,684.558,483.642,0.478703,0.338205,0,Cd,No,
13340,XOPLUL_clean,4.48758,3.26596,4.47758,1.70185,0,0,887.598,521.549,0.491475,0.288789,0,Cd,No,
10909,TOKKOV_clean,5.02498,3.26586,4.31205,1.69711,0,0,790.733,465.929,0.503069,0.296427,0,"Si,Ag",Yes,Ag
